CRS SUBJ CD,CRS NBR,CRS TITLE,DEPT CD,DEPT NAME,A,B,C,D,F,ADV,CR,DFR,I,NG,NR,O,PR,S,U,W,Primary Instructor,Grade Regs,SUBJECT NAME
AAST,100,Intro African American Studies,2363,Black Studies,25,24,12,0,5,0,0,0,0,0,0,0,0,0,0,4,"Rhodes, Jane",70,AAST
AAST,110,"Intro Af Amer Lit, 1760-1910",2363,Black Studies,5,13,3,0,1,0,0,0,0,0,0,0,0,0,0,0,"Dubey, Madhu",22,AAST
AAST,125,AfAm Religious Traditions,2363,Black Studies,5,11,11,1,0,0,0,0,0,0,0,0,0,0,0,3,"Jabir, Johari",31,AAST
AAST,210,Art/Archaeology of Egypt,2349,Classics & Mediterran Studies,6,1,1,1,2,0,0,0,0,0,0,0,0,0,0,2,"Tobin, Jennifer L",13,AAST
AAST,225,Racial and Ethnic Groups,2772,Sociology,10,1,3,1,2,0,0,0,0,0,0,0,0,0,0,3,Grad Asst,20,AAST
AAST,229,Topics in African Diasporas,2363,Black Studies,6,10,3,1,0,0,0,2,0,0,0,0,0,0,0,0,"Jackson, Lynette A.",22,AAST
AAST,246,Black Lives in Hist Context,2363,Black Studies,8,7,8,0,0,0,0,0,0,0,0,0,0,0,0,4,"Jabir, Johari",27,AAST
AAST,249,Black Freedom Movements,2363,Black Studies,5,13,3,0,0,0,0,0,1,0,0,0,0,0,0,0,"Ferguson, Roderick A",22,AAST
AAST,265,The Harlem Renaissance,2363,Black Studies,4,6,0,0,1,0,0,0,2,0,0,0,0,0,0,0,"Clarke, Ainsworth A.",13,AAST
AAST,294,Performing Black Spirituality,2363,Black Studies,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"LaMothe, Mario Jacques",15,AAST
ACTG,210,Intr Fin Acct for Bus Scholar,2656,Accounting,3,16,3,0,0,0,0,0,0,0,0,0,0,0,0,1,"Pandit, Shailendra",23,ACTG
ACTG,210,Intro Fin Acct for Actg Majors,2656,Accounting,14,30,14,10,3,0,0,0,0,0,0,0,0,0,0,2,"Pandit, Shailendra",73,ACTG
ACTG,210,Intro Financial Accounting,2656,Accounting,19,55,57,33,29,0,0,0,0,0,1,0,0,0,0,71,"Galvan, Abel",265,ACTG
ACTG,210,Intro Financial Accounting BBA,2656,Accounting,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Jastrzebski, Ronald J",28,ACTG
ACTG,210,Intro Financial Accounting,2656,Accounting,5,5,13,3,1,0,0,0,0,0,0,0,0,0,0,4,"Salama, Yehia A.",31,ACTG
ACTG,211,Intro Mang Acct for Actg Major,2656,Accounting,15,25,15,5,2,0,0,0,0,0,0,0,0,0,0,6,"Awad, Abigail Marian",68,ACTG
ACTG,211,Intro Managerial Accounting,2656,Accounting,17,63,70,31,21,0,0,0,1,0,0,0,0,0,0,11,"Jastrzebski, Ronald J",214,ACTG
ACTG,315,Intermediate Financial Actg I,2656,Accounting,21,26,31,11,1,0,0,0,0,0,0,0,0,0,0,5,"Raval, Vivek",95,ACTG
ACTG,316,Intermediate Financial Actg II,2656,Accounting,35,37,5,0,0,0,0,0,0,0,0,0,0,0,0,2,"Zhong, Rong",79,ACTG
ACTG,326,Cost Accounting,2656,Accounting,34,21,3,1,1,0,0,0,0,0,0,0,0,0,0,0,"Jastrzebski, Ronald J",60,ACTG
ACTG,326,Cost Accounting,2656,Accounting,10,27,17,3,1,0,0,0,0,0,0,0,0,0,0,1,"Kemp, Robert E",59,ACTG
ACTG,355,Business Law I,2656,Accounting,28,23,6,0,0,0,0,0,0,0,0,0,0,0,0,2,"Scully, George",59,ACTG
ACTG,355,Business Law I,2656,Accounting,8,15,8,2,0,0,0,0,0,0,0,0,0,0,0,2,"Leahy, Edward",35,ACTG
ACTG,417,Adv Financial Accounting,2656,Accounting,4,4,4,2,0,0,0,0,0,0,0,0,0,0,0,2,"Salama, Yehia A.",16,ACTG
