CRS SUBJ CD,CRS NBR,CRS TITLE,DEPT CD,DEPT NAME,A,B,C,D,F,ADV,CR,DFR,I,NG,NR,O,PR,S,U,W,Primary Instructor,Grade Regs,SUBJECT NAME
ACTG,210,Intro to Fin Actg,2656,Accounting,46,21,12,2,4,0,0,0,0,0,0,0,0,0,0,0,"Zufarov, Rustam",85,ACTG
ACTG,210,Intro Financial Accounting,2656,Accounting,14,12,6,6,0,0,0,0,0,0,0,0,0,0,0,0,"Zufarov, Rustam",38,ACTG
ACTG,210,Intro to Fin Actg,2656,Accounting,27,44,34,14,8,0,0,0,0,0,0,0,0,0,0,8,"Lord Pearson, Eva Marie",135,ACTG
ACTG,210,Intro Financial Accounting,2656,Accounting,6,14,12,4,3,0,0,0,0,0,0,0,0,0,0,5,"Eccher, Elizabeth",44,ACTG
ACTG,210,Intro Financial Accounting,2656,Accounting,13,21,17,5,0,0,0,0,0,0,0,0,0,0,0,4,"Lord Pearson, Eva Marie",60,ACTG
ACTG,210,Intro Financial Accounting,2656,Accounting,10,18,19,11,9,0,0,0,0,0,0,0,0,0,0,8,"Salama, Yehia A.",75,ACTG
ACTG,210,Intro to Fin Actg,2656,Accounting,38,45,27,3,4,0,0,0,0,0,0,0,0,0,0,3,"Liu, Min",120,ACTG
ACTG,210,Intro Financial Accounting,2656,Accounting,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,2,"McGuinness, Brian",32,ACTG
ACTG,210,Intro to Fin Actg,2656,Accounting,21,29,26,6,5,0,0,0,0,0,0,0,0,0,0,7,"Eccher, Elizabeth",94,ACTG
ACTG,211,Intro Managerial Accounting,2656,Accounting,21,20,11,4,1,0,0,0,0,0,0,0,0,0,0,3,"Jastrzebski, Ronald J",60,ACTG
ACTG,211,Intro Mgrl Actg for BBA online,2656,Accounting,15,10,8,2,1,0,0,0,0,0,0,0,0,0,0,1,"Attah-Gyamfi, Erasmus",37,ACTG
ACTG,211,Intro Managerial Accounting,2656,Accounting,39,43,27,0,2,0,0,0,0,0,0,0,0,0,0,7,"Kirschenheiter, Michael",118,ACTG
ACTG,211,Intro Managerial Accounting,2656,Accounting,58,30,33,2,2,0,0,0,1,0,0,0,0,0,0,6,"Patel, Neel Vasudev",132,ACTG
ACTG,315,Intermediate Financial Actg I,2656,Accounting,48,58,34,3,1,0,0,0,0,0,0,0,0,0,0,2,"Nekrasov, Alexander",146,ACTG
ACTG,316,Intermediate Financial Actg II,2656,Accounting,23,35,24,12,3,0,0,0,0,0,0,0,0,0,0,1,"Zhong, Rong",98,ACTG
ACTG,326,Cost Accounting,2656,Accounting,25,38,29,6,3,0,0,0,0,0,0,0,0,0,0,2,"Hart, Daphne",103,ACTG
ACTG,355,Business Law I,2656,Accounting,19,13,15,7,0,0,0,0,0,0,0,0,0,0,0,1,"Leahy, Edward",55,ACTG
ACTG,355,Business Law I,2656,Accounting,8,13,7,14,1,0,0,0,0,0,0,0,0,0,0,3,"Scully, George",46,ACTG
ACTG,417,Adv Financial Accounting,2656,Accounting,6,9,10,8,5,0,0,0,0,0,0,0,0,0,0,6,"Salama, Yehia A.",44,ACTG
ACTG,435,Auditing,2656,Accounting,34,34,11,2,2,0,0,0,4,0,0,0,0,0,0,0,"Atatsi, Joseph",87,ACTG
ACTG,445,Federal Income Tax I,2656,Accounting,35,59,6,6,2,0,0,0,0,0,0,0,0,0,0,3,"Savoy, Steven J",111,ACTG
ACTG,446,Federal Income Tax II,2656,Accounting,15,19,4,2,0,0,0,0,0,0,0,0,0,0,0,0,"Hwang, Jay",40,ACTG
ACTG,470,Ethical Environment Business,2656,Accounting,37,43,19,12,3,0,0,1,0,0,0,0,0,0,0,4,"Scully, George",119,ACTG
ACTG,474,Actg Information Systems,2656,Accounting,40,53,30,13,9,0,0,0,0,0,0,0,0,0,0,1,"Jastrzebski, Ronald J",146,ACTG
ACTG,476,Enterprise Acctng Systems,2656,Accounting,8,4,2,0,0,0,0,0,1,0,0,0,0,0,0,3,"Kupchek, Michael J",18,ACTG
ACTG,492,Accounting Data Analytics,2656,Accounting,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,1,"Ramakrishnan, Ram T S",31,ACTG
ACTG,493,Actg Cases Research & Analysis,2656,Accounting,29,48,16,1,3,0,0,0,0,0,0,0,0,0,0,1,"Balachandran, Sudhakar V",98,ACTG
ACTG,500,Intro Financial Actg,2656,Accounting,30,22,4,4,2,0,0,0,0,0,0,0,0,0,0,0,"Attah-Gyamfi, Erasmus",62,ACTG
ACTG,500,Intro Financial Actg,2656,Accounting,17,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Graziano, Ronald",25,ACTG
ACTG,500,Intro Financial Actg,2656,Accounting,47,11,2,0,1,0,0,0,0,0,0,0,0,0,0,0,"Magina, Nicholas",61,ACTG
ACTG,503,Financial Accounting II,2656,Accounting,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mc Donagh, Eamonn Michael",11,ACTG
ACTG,516,Financial Statement Analysis,2656,Accounting,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ramakrishnan, Ram T S",10,ACTG
ACTG,585,Corporate Valuation &Actg Info,2656,Accounting,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pandit, Shailendra",16,ACTG
AH,100,Intro to Art &Art History,2910,Art History,32,48,23,6,7,0,0,0,0,0,0,0,0,0,0,4,Grad Asst,120,AH
AH,101,The Naked and the Nude,2910,Art History,5,3,2,2,2,0,0,0,0,0,0,0,0,0,0,6,Grad Asst,20,AH
AH,111,World Hist Art & Built Env II,2910,Art History,34,30,9,7,7,0,0,0,0,0,232,0,0,0,0,20,"Reeves, Christopher Matthew",339,AH
AH,122,Chicago Architecture,2910,Art History,1,16,12,3,4,0,0,0,0,0,0,0,0,0,0,4,Grad Asst,40,AH
AH,130,Photography in History,2910,Art History,3,10,2,1,0,0,0,0,0,0,10,0,0,0,0,1,Grad Asst,27,AH
AH,150,Art and Money,2910,Art History,7,10,5,0,1,0,0,0,1,0,0,0,0,0,0,0,"Dubin, Nina",24,AH
AH,160,Trends in Contemp Art,2910,Art History,12,11,7,1,6,0,0,0,0,0,0,0,0,0,0,2,Grad Asst,39,AH
AH,180,Intro to Museum & Exhibition,2910,Art History,12,7,0,0,0,0,0,0,7,0,0,0,0,0,0,5,"Stewart, Lorelei",31,AH
AH,201,Reading&Writing Art Criticism,2910,Art History,11,9,3,2,0,0,0,0,1,0,0,0,0,0,0,2,Grad Asst,28,AH
AH,205,Roman Art and Archaeology,2349,Classics & Mediterran Studies,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Ros, Karen E",10,AH
AH,218,Pompeii: Everyday Life,2349,Classics & Mediterran Studies,5,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,"Ros, Karen E",13,AH
AH,219,Art &Architecture of East Asia,2910,Art History,6,10,4,2,3,0,0,0,0,0,0,0,0,0,0,1,"Yang, Zhiyan",26,AH
AH,233,Film History II: WWII-Present,2492,English,8,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,"Rubin, Martin L.",22,AH
AH,236,History of Design II,2895,School of Design,7,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Brown, Jefferson Dakota",10,AH
AH,248,Russ Visual/Material Culture,2382,"Pol, Russ & Lith Studies",4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"Vaingurt, Julia",10,AH
AH,274,Visual Culture Mesoamerica,2910,Art History,20,27,17,8,13,0,0,0,1,0,0,0,0,0,0,11,"Finegold, Andrew",97,AH
AH,302,Museum & Exhibition Workshop,2910,Art History,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,"Lee, Lisa Yun",12,AH
AH,522,Landscapes of the Anthropocene,2910,Art History,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Harmansah, Omur",12,AH
AH,562,Sentimentality,2910,Art History,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ortega, Emmanuel",17,AH
AHS,101,Rehab Sci Student Success,2797,Applied Health Sciences Admin,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,1,"Akinola, Olayemi",11,AHS
AHS,102,Intro Clinical Research,2797,Applied Health Sciences Admin,6,7,4,2,1,0,0,0,0,0,0,0,0,0,0,2,"Akinola, Olayemi",22,AHS
AHS,200,Intro Integrated Health,2797,Applied Health Sciences Admin,29,8,2,1,0,0,0,0,1,0,0,0,0,0,0,0,"Alve, Mohammad Yeasir Arafat",41,AHS
AHS,200,Intro Integrated Health,2797,Applied Health Sciences Admin,137,7,2,1,1,0,0,0,0,0,0,0,0,0,0,2,"Kieso, Tiana Al-Aswad",150,AHS
AHS,210,Intro to Rehab Science,2797,Applied Health Sciences Admin,11,3,0,0,0,0,0,0,3,0,0,0,0,0,0,2,"Hasnain, Rooshey",19,AHS
AHS,325,Rehab Case Management,2797,Applied Health Sciences Admin,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Schwartz, Orit",14,AHS
AHS,330,Phys and Mental Hlth in Rehab,2797,Applied Health Sciences Admin,16,15,1,0,1,0,0,0,0,0,0,0,0,0,0,2,"Schwartz, Orit",35,AHS
AHS,365,Measurement in Rehab,2797,Applied Health Sciences Admin,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Akinola, Olayemi",23,AHS
