CRS SUBJ CD,CRS NBR,CRS TITLE,DEPT CD,DEPT NAME,A,B,C,D,F,ADV,CR,DFR,I,NG,NR,O,PR,S,U,W,Primary Instructor,Grade Regs,SUBJECT NAME
ACTG,210,Intro Fin Actg BBA Online,2656,Accounting,11,7,4,0,4,0,0,0,0,0,0,0,0,0,0,0,"Attah-Gyamfi, Erasmus",26,ACTG
ACTG,210,Intro Financial Accounting,2656,Accounting,77,95,67,31,14,0,0,0,0,0,0,0,0,0,0,18,"Eccher, Elizabeth",302,ACTG
ACTG,211,Intro Managerial Accounting,2656,Accounting,72,46,15,7,9,0,0,0,0,0,0,0,0,0,0,2,"Attah-Gyamfi, Erasmus",151,ACTG
ACTG,211,Intro Managerial Accounting,2656,Accounting,31,34,48,11,4,0,0,0,0,0,0,0,0,0,0,4,"Lord Pearson, Eva Marie",132,ACTG
ACTG,211,Intro Managerial Accounting,2656,Accounting,58,66,78,18,12,0,0,0,0,0,0,0,0,0,0,16,"Jastrzebski, Ronald J",248,ACTG
ACTG,211,Intro Mngrl Actg Bus Scholar,2656,Accounting,35,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Martin, Melissa",46,ACTG
ACTG,211,Intro Managerial Accounting,2656,Accounting,25,25,21,6,1,0,0,0,0,0,0,0,0,0,0,2,"Martin, Melissa",80,ACTG
ACTG,315,Intermediate Financial Actg I,2656,Accounting,12,23,47,12,3,0,0,0,0,0,0,0,0,0,0,6,"Raval, Vivek",103,ACTG
ACTG,316,Intermediate Financial Actg II,2656,Accounting,67,35,11,3,3,0,0,0,0,0,0,0,0,0,0,4,"Liu, Min",123,ACTG
ACTG,326,Cost Accounting,2656,Accounting,29,63,52,16,3,0,0,0,0,0,0,0,0,0,0,1,"Patrick, Paige",164,ACTG
ACTG,355,Business Law I,2656,Accounting,12,21,12,4,2,0,0,0,0,0,0,0,0,0,0,5,"Leahy, Edward",56,ACTG
ACTG,355,Business Law I,2656,Accounting,13,21,17,7,2,0,0,0,0,0,0,0,0,0,0,0,"Scully, George",60,ACTG
ACTG,435,Auditing,2656,Accounting,38,50,22,0,3,0,0,0,0,0,0,0,0,0,0,0,"Judd, Joshua Scott",113,ACTG
ACTG,445,Federal Income Tax I,2656,Accounting,24,67,13,1,0,0,0,0,0,0,0,0,0,0,0,1,"Savor, Stephanie Sikes",106,ACTG
ACTG,446,Federal Income Tax II,2656,Accounting,11,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mc Donagh, Eamonn Michael",31,ACTG
ACTG,470,Ethical Environment Business,2656,Accounting,31,33,22,9,8,0,0,0,0,0,0,0,0,0,0,1,"Scully, George",104,ACTG
ACTG,474,Actg Information Systems,2656,Accounting,31,40,21,1,5,0,0,0,0,0,0,0,0,0,0,7,"Chen, Jason Victor",105,ACTG
ACTG,475,Database Accounting Systems,2656,Accounting,4,7,19,2,5,0,0,0,1,0,0,0,0,0,0,2,"Kupchek, Michael J",40,ACTG
ACTG,492,Accounting Data Analytics,2656,Accounting,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ramakrishnan, Ram T S",14,ACTG
ACTG,493,Actg Cases Research & Analysis,2656,Accounting,37,26,12,2,1,0,0,0,0,0,0,0,0,0,0,0,"Engel, Ellen",78,ACTG
ACTG,500,Intro Financial Actg,2656,Accounting,13,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"Balachandran, Sudhakar V",32,ACTG
ACTG,500,Intro Financial Actg,2656,Accounting,66,17,3,1,0,0,0,0,0,0,0,0,0,0,0,1,"Lord Pearson, Eva Marie",88,ACTG
ACTG,500,Intro Financial Actg,2656,Accounting,16,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"Foutty, Kenton Alan",27,ACTG
